============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.3, pluggy-1.6.0 -- /home/lulu/investments-assistant/investments-assistant-local-machine/.venv/bin/python
cachedir: .pytest_cache
rootdir: /home/lulu/investments-assistant/investments-assistant-local-machine
configfile: pyproject.toml
plugins: anyio-4.13.0, asyncio-1.3.0, cov-7.1.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 394 items

tests/unit/acceptance_authority_test.py::test_model_cannot_approve_its_own_same_session_proposal PASSED [  0%]
tests/unit/acceptance_authority_test.py::test_caller_estimate_never_authorizes_excess_notional[1] PASSED [  0%]
tests/unit/acceptance_authority_test.py::test_caller_estimate_never_authorizes_excess_notional[100000] PASSED [  0%]
tests/unit/acceptance_authority_test.py::test_caller_estimate_never_authorizes_excess_notional[None] PASSED [  1%]
tests/unit/acceptance_authority_test.py::test_caller_estimate_never_authorizes_excess_notional[nan] PASSED [  1%]
tests/unit/acceptance_authority_test.py::test_no_identity_cannot_use_global_broker_credentials PASSED [  1%]
tests/unit/acceptance_authority_test.py::test_model_cannot_change_mode PASSED [  1%]
tests/unit/acceptance_authority_test.py::test_port_and_live_flag_cannot_authorize_external_writes PASSED [  2%]
tests/unit/acceptance_authority_test.py::test_explicit_database_url_cannot_fall_back_to_application_host PASSED [  2%]
tests/unit/acceptance_broker_test.py::test_account_summary_preserves_currency_and_account_identity PASSED [  2%]
tests/unit/acceptance_broker_test.py::test_unscoped_or_unapproved_connection_is_rejected_before_sdk_import PASSED [  2%]
tests/unit/acceptance_broker_test.py::test_all_retained_adapter_writes_use_closed_external_gate[src.tools.brokers.alpaca-submit_alpaca_order-cancel_alpaca_order] PASSED [  3%]
tests/unit/acceptance_broker_test.py::test_all_retained_adapter_writes_use_closed_external_gate[src.tools.brokers.ibkr-submit_ibkr_order-cancel_ibkr_order] PASSED [  3%]
tests/unit/acceptance_broker_test.py::test_all_retained_adapter_writes_use_closed_external_gate[src.tools.brokers.coinbase-submit_coinbase_order-cancel_coinbase_order] PASSED [  3%]
tests/unit/acceptance_broker_test.py::test_all_retained_adapter_writes_use_closed_external_gate[src.tools.brokers.binance-submit_binance_order-cancel_binance_order] PASSED [  3%]
tests/unit/acceptance_broker_test.py::test_spyl_xetra_eur_contract_fixture_is_only_resolution PASSED [  4%]
tests/unit/acceptance_broker_test.py::test_ambiguous_contract_is_rejected PASSED [  4%]
tests/unit/acceptance_broker_test.py::test_failed_connection_disconnects_and_releases_worker_resources PASSED [  4%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[missing-src.tools.brokers.alpaca] PASSED [  4%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[missing-src.tools.brokers.binance] PASSED [  5%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[missing-src.tools.brokers.coinbase] PASSED [  5%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[owner-src.tools.brokers.alpaca] PASSED [  5%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[owner-src.tools.brokers.binance] PASSED [  5%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[owner-src.tools.brokers.coinbase] PASSED [  6%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[account-src.tools.brokers.alpaca] PASSED [  6%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[account-src.tools.brokers.binance] PASSED [  6%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[account-src.tools.brokers.coinbase] PASSED [  6%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[broker-src.tools.brokers.alpaca] PASSED [  7%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[broker-src.tools.brokers.binance] PASSED [  7%]
tests/unit/acceptance_broker_test.py::test_sdk_reads_require_explicit_owned_matching_account[broker-src.tools.brokers.coinbase] PASSED [  7%]
tests/unit/acceptance_broker_test.py::test_explicit_account_reads_retain_selected_credentials[src.tools.brokers.alpaca] PASSED [  7%]
tests/unit/acceptance_broker_test.py::test_explicit_account_reads_retain_selected_credentials[src.tools.brokers.binance] PASSED [  8%]
tests/unit/acceptance_broker_test.py::test_explicit_account_reads_retain_selected_credentials[src.tools.brokers.coinbase] PASSED [  8%]
tests/unit/acceptance_broker_test.py::test_unscoped_portfolio_helpers_never_dispatch PASSED [  8%]
tests/unit/acceptance_financial_test.py::test_fractional_quantity_and_original_currency_survive PASSED [  8%]
tests/unit/acceptance_financial_test.py::test_fx_requires_rate_and_timestamp PASSED [  9%]
tests/unit/acceptance_financial_test.py::test_expense_currency_direction_and_account_are_part_of_fallback_identity PASSED [  9%]
tests/unit/acceptance_financial_test.py::test_missing_expense_facts_are_rejected[currency] PASSED [  9%]
tests/unit/acceptance_financial_test.py::test_missing_expense_facts_are_rejected[date] PASSED [  9%]
tests/unit/acceptance_financial_test.py::test_mixed_currency_totals_are_never_added PASSED [ 10%]
tests/unit/acceptance_financial_test.py::test_rebalance_preserves_current_position_value PASSED [ 10%]
tests/unit/acceptance_financial_test.py::test_portfolio_aggregate_does_not_sum_unconverted_currencies PASSED [ 10%]
tests/unit/acceptance_network_test.py::test_same_origin_uses_actual_connection_scheme[ws-http://localhost:8443] PASSED [ 10%]
